Index,Max Temperature (?? C),Min Temperature (?? C),Wind Speed (km/h),Cloud Cover (%),Relative Humidity (%),Conditions
1,35.9,25,12.9,11.6,67.11,Rain
2,36,27.5,12.1,11.8,68.15,Rain
3,35.5,28,11.2,21.7,73.05,Rain
4,35,28,19.4,27.7,71.29,"Rain, Partially cloudy"
5,36,28,15.7,22.1,69.52,Clear
6,35.7,26.5,25.9,37.2,72.42,"Rain, Partially cloudy"
7,28.1,25,12.1,53.2,85.11,"Rain, Partially cloudy"
8,31.2,25,14.8,49,81.74,"Rain, Partially cloudy"
9,31,26,19.4,67.6,80.83,"Rain, Partially cloudy"
10,33.7,26.5,14.8,55.4,80.11,"Rain, Partially cloudy"
11,33.2,26,14.3,30.1,79.21,"Rain, Partially cloudy"
12,33.5,25.5,14.8,45.1,82.51,"Rain, Partially cloudy"
13,32.7,25,18.4,55.3,81.14,"Rain, Partially cloudy"
14,33.5,26,15.8,47.6,79.8,"Rain, Partially cloudy"
15,33.5,26,18.4,41.4,78.08,"Rain, Partially cloudy"
16,34.5,27,23.2,32,76.82,"Rain, Partially cloudy"
17,34.5,27,15.7,32.5,72.4,Partially cloudy
18,29,26,23.2,55.3,67.26,"Rain, Partially cloudy"
19,25.5,24,22.3,75.6,81.14,"Rain, Overcast"
20,26.7,24,10.3,65.7,87.66,"Rain, Partially cloudy"
21,32.5,25,17.5,57,80.66,Partially cloudy
22,31.8,25,15.7,53.9,85.55,"Rain, Partially cloudy"
23,30.9,25,18.4,56.2,85.23,"Rain, Partially cloudy"
24,28.5,23,18.4,66.9,80.03,"Rain, Partially cloudy"
25,33,25,16.6,53.2,75.99,"Rain, Partially cloudy"
26,32.7,25,16.7,56.6,79.28,"Rain, Partially cloudy"
27,28.3,24,21.4,67,83.47,"Rain, Partially cloudy"
28,30,24,13,65.2,81.15,"Rain, Partially cloudy"
29,33,25.9,16.6,44.7,77.18,"Rain, Partially cloudy"
30,34.1,26,16.6,37.7,75.58,"Rain, Partially cloudy"
31,31,25,16.6,50.9,81.67,"Rain, Partially cloudy"
32,32,26,13.9,48,79.83,"Rain, Partially cloudy"
33,31,25.5,13.9,48.2,87.3,"Rain, Partially cloudy"
34,33,25,13.9,50.8,80.45,"Rain, Partially cloudy"
35,32.5,26,18.5,46.2,82.36,"Rain, Partially cloudy"
36,29.2,24,18.5,39,72.02,"Rain, Partially cloudy"
37,28.1,23,20.5,56.5,67.45,Partially cloudy
38,27.4,22,24.1,39,61.22,Partially cloudy
39,27.4,21,21.4,22.7,60.35,Clear
40,27.1,20,24.1,24.9,61.17,Clear
41,27.5,20.5,17.5,27.6,59.47,Partially cloudy
42,29.3,21.5,19.4,19.9,62.86,Clear
43,30.5,25,21.4,28.8,56.39,Partially cloudy
44,27,22.5,23.2,93.8,83.82,"Rain, Overcast"
45,25,22.7,19.4,93.2,85.94,"Rain, Overcast"
46,27,22.8,25,68,72.69,"Rain, Partially cloudy"
47,24.5,21,21.4,34,60.1,"Rain, Partially cloudy"
48,24,20.5,23.2,52.9,69.63,"Rain, Partially cloudy"
49,23,21,18.4,32,66.07,"Rain, Partially cloudy"
50,24.5,21.4,15.7,26.3,57.91,"Rain, Partially cloudy"
51,27.5,21.5,21.2,18.1,54.08,Clear
52,29,18,20.5,7.2,51.14,Clear
53,29,17,19.4,1.7,54.61,Clear
54,28.5,16.5,13,5.8,59.82,Clear
55,24.2,19,14.8,71.1,71.02,"Rain, Partially cloudy"
56,24,22,12.1,86.9,80.24,"Rain, Overcast"
57,29.8,22,12.1,34.2,80.55,"Rain, Partially cloudy"
58,30.5,22.5,20.3,46.9,74.48,"Rain, Partially cloudy"
